uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
73d47077-6ff4-4cc0-92ae-4b84f85bcce3,"{'subject': '""C:\\Users\\victim\\Downloads\\payload.exe"" '}",3497,True,0,2,2,0,7764,7764
27f75ff2-ca6e-42fb-9fcf-2d5f604998fe,{'file': 'C:\\Users\\victim\\Downloads\\payload.exe'},3454,True,1,0,1,5,0,5
ca7f8d08-a548-4c35-9a8c-84def9d31243,{'file': 'C:\\Users\\victim\\Downloads\\PLEASANT_ORDINARY.exe'},16589,True,1,0,1,4,0,4
1b57b9fc-d415-432a-91b3-accf57ebd9cb,"{'subject': 'REG  ADD ""HKCU\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run"" /V ""Atomic Red Team"" /t REG_SZ /F /D ""C:\\Users\\victim\\Downloads\\PLEASANT_ORDINARY.exe""'}",16980,True,0,0,0,0,2,2
91fae78a-9c52-4213-a58d-88e2b41e8419,"{'subject': '""C:\\Users\\victim\\Downloads\\PLEASANT_ORDINARY.exe"" '}",17495,True,0,2,2,0,2,2
320b37ab-1607-4eb1-959b-a2c242b88eea,{'netflow': '192.168.56.102:52172->192.168.56.101:16415'},3350,True,0,0,0,1,0,1
3c27c47f-8105-4789-9e08-3bb0aec797b5,{'netflow': '192.168.56.102:52428->192.168.56.101:16415'},3351,True,0,0,0,1,0,1
4e4670c9-6ef7-4d25-9d39-6933e4887e87,{'netflow': '192.168.56.102:53196->192.168.56.101:16415'},3362,True,0,0,0,1,0,1
4f0989a2-0e7b-4d22-bc38-a305797179f3,{'netflow': '192.168.56.102:53964->192.168.56.101:16415'},3374,True,0,0,0,1,0,1
61c7cae2-2e36-4f70-81ac-5b4d7ba65667,{'netflow': '192.168.56.102:53708->192.168.56.101:16415'},3375,True,0,0,0,1,0,1
97d6a8fa-76b0-44db-8a51-aa23d6446a5c,{'netflow': '192.168.56.102:54220->192.168.56.101:16415'},3397,True,0,0,0,1,0,1
8ae8b083-6cf0-410a-923f-90420fcf6183,{'netflow': '192.168.56.102:54732->192.168.56.101:16415'},3399,True,0,0,0,1,0,1
52335555-b2be-4ac3-8632-97dc63b3061f,{'netflow': '192.168.56.102:54988->192.168.56.101:16415'},3401,True,0,0,0,1,0,1
c3265eaa-342e-47ba-8aca-2a91bdb2f770,{'netflow': '192.168.56.102:55756->192.168.56.101:16415'},3418,True,0,0,0,1,0,1
08d42cae-095b-469a-8e9a-de2e2919c01b,{'netflow': '192.168.56.102:56012->192.168.56.101:16415'},3419,True,0,0,0,1,0,1
1bf5bd97-4514-4e2b-85eb-74018aed5fc2,{'netflow': '192.168.56.102:56268->192.168.56.101:16415'},3420,True,0,0,0,1,0,1
6b538512-13db-4371-baf7-e37b23bbe36e,{'netflow': '192.168.56.102:56780->192.168.56.101:16415'},3423,True,0,0,0,1,0,1
3b6dbb20-1f3a-4888-bc86-ff65a2d84e58,{'netflow': '192.168.56.102:57036->192.168.56.101:16415'},3424,True,0,0,0,1,0,1
d2f3f70d-034b-40a0-918b-13b7e87d9263,{'netflow': '192.168.56.102:57292->192.168.56.101:16415'},3425,True,0,0,0,1,0,1
4483a8f1-38b0-47e6-ac6c-32b01436cd4d,{'netflow': '192.168.56.102:57548->192.168.56.101:16415'},3426,True,0,0,0,1,0,1
6b252428-406c-4801-b35a-b85b428a07e4,{'netflow': '192.168.56.102:57804->192.168.56.101:16415'},3430,True,0,0,0,1,0,1
6918419e-97fd-424d-baaa-8a65db877909,{'netflow': '192.168.56.102:58060->192.168.56.101:16415'},3435,True,0,0,0,1,0,1
2acb20b0-83df-4949-b366-7388a5709d06,{'file': 'payload.exe'},3498,True,0,0,0,1,0,1
eb88d3d2-227b-47f3-9035-0739df6d7825,{'netflow': '192.168.56.102:59084->192.168.56.101:47138'},3500,True,1,0,1,1,0,1
bda6c62a-ca25-4792-8dca-f8c667d798b6,{'netflow': '192.168.56.102:60876->192.168.56.101:16415'},15404,True,0,0,0,1,0,1
c9525e58-db22-4432-b5f1-80a297ed93ba,{'netflow': '192.168.56.102:61388->192.168.56.101:16415'},15768,True,0,0,0,1,0,1
6033a7cb-4bd4-4043-9cc2-c7c292143d0b,{'netflow': '192.168.56.102:61644->192.168.56.101:16415'},15769,True,0,0,0,1,0,1
2d054733-368d-4993-9dda-957eb4f9f169,{'netflow': '192.168.56.102:61900->192.168.56.101:16415'},15895,True,0,0,0,1,0,1
97d1322d-9aea-4721-ae0c-458081a45bde,{'netflow': '192.168.56.102:62156->192.168.56.101:16415'},16146,True,0,0,0,1,0,1
c989b8d5-fd8d-4ef9-970c-097c08638a2a,{'file': 'PLEASANT_ORDINARY.exe'},17496,True,0,0,0,1,0,1
68d45254-7dac-42a2-9e0e-265bd69ef6eb,{'netflow': '192.168.56.102:64716->192.168.56.101:24862'},17497,True,1,0,1,1,0,1
