uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
6fb0a986-a9c7-4385-bbf0-959683e1c3ac,"{'subject': '""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --no-startup-window'}",1017,False,0,4,4,0,185,185
22f52d2c-ba66-4e65-9e71-d903e1d2d1e0,{'subject': 'C:\\Windows\\Explorer.EXE'},986,False,0,2,2,0,181,181
3ea96664-859b-4e98-9e6c-9aa174024063,"{'subject': '""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --no-pre-read-main-dll --startup-read-main-dll --metrics-shmem-handle=2380'}",1021,False,0,11,11,0,63,63
a0f8d514-ed28-460c-b344-ae3e4c0abb5c,{'file': 'conhost.exe'},1092,False,1,0,1,62,0,62
02523a28-c90d-4ce5-b9a4-1faf4a7a572a,{'file': 'cmd.exe'},1441,False,3,0,3,37,0,37
533d7dfe-496a-4729-9fba-6550263002e0,{'file': 'C:\\Windows\\System32\\cmd.exe'},1442,False,1,0,1,35,0,35
de7679c5-72f6-4926-9d07-9a189815d7ad,{'file': 'i:WofCompressedDat'},1076,False,2,0,2,26,0,26
0bab7009-bb09-40fc-a3a2-e87c239e4ffd,{'file': '\\Device\\HarddiskVolume1\\Windows\\System32\\winspool.drv'},222,False,1,0,1,12,0,12
60c27527-60ef-4b32-9848-95031d7232d4,{'subject': 'regsvr32  C:\\Users\\victim\\Downloads\\AESTHETIC_PACKET.dll'},2196,True,0,8,8,0,8,8
ac2474bc-8387-4540-b78d-7aa99768570f,"{'subject': 'cmd.exe /c ""REG ADD \\""HKCU\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\"" /V \\""Atomic Red Team\\"" /t REG_SZ /F /D \\""C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe\\""""'}",50712,True,0,6,6,0,6,6
65b22e74-2a70-4523-b0f9-e40bcf855c75,{'subject': 'consent.exe 9988 378 000001D65B458BA0'},50742,False,0,1,1,0,6,6
6dd113f8-f249-4e03-a4f5-972be02c07fe,{'file': 'C:\\Windows\\Prefetch\\CMD.EXE-89305D47.pf'},2187,False,1,0,1,4,0,4
4c233568-ec57-4eb2-a8a4-3ead0ddb1d28,{'file': 'C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe'},50706,True,4,0,4,4,0,4
288e169a-c905-47f4-ac4e-a2b186df566c,{'file': 'C:\\Users\\victim\\Downloads\\未确认 172669.crdownload'},1354,False,1,1,2,2,1,3
eb604f70-7965-4f3c-9c2c-0d8de80c6332,{'file': 'C:\\Users\\victim\\Downloads\\未确认 530533.crdownload'},50700,False,1,1,2,2,1,3
7accf6cc-69f9-4e32-86bb-60462b80f09d,"{'subject': 'REG  ADD \\""HKCU\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\"" /V \\""Atomic Red Team\\"" /t REG_SZ /F /D \\""C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe\\""'}",50715,True,0,3,3,0,3,3
edaeab67-db78-465b-a1bc-bf81e810fcdb,"{'subject': '""C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe"" '}",50744,True,0,3,3,0,3,3
5571eec4-a252-4b84-988b-32364547eb9e,{'file': 'C:\\Users\\victim\\Downloads\\AESTHETIC_PACKET.dll'},1375,True,2,0,2,2,0,2
62ad3d2a-5588-48db-9b68-541b737c35d2,{'file': 'C:\\Windows\\system32\\regsvr32.exe'},2195,False,1,0,1,2,0,2
c85821e9-61c8-46fd-81f2-047ddf3b6d0a,{'file': 'C:\\Windows\\System32\\regsvr32.exe'},2198,False,1,0,1,2,0,2
ac032073-7a05-40cd-b5f5-f08e1a8d9719,{'file': 'C:\\Windows\\system32\\whoami.exe'},2204,False,1,0,1,2,0,2
e601dd55-52ee-461b-aab9-a58b11ea4247,{'file': 'whoami.exe'},2206,False,1,0,1,2,0,2
74b1343c-0ecb-46bb-a97c-a6e105ecb823,{'file': 'C:\\Windows\\System32\\reg.exe'},50714,False,2,0,2,2,0,2
00f433cd-a05b-4bce-b54a-2c23734c9554,{'file': 'reg.exe'},50716,False,2,0,2,2,0,2
aed7883d-f097-49fc-b3e8-a7eb30222fda,{'netflow': '192.168.56.102:50380->192.168.56.101:16415'},1268,True,1,0,1,1,0,1
cbe5aaa0-06e1-4314-ac20-12ded09716a6,{'netflow': '192.168.56.102:50636->192.168.56.101:16415'},1286,True,1,0,1,1,0,1
a2097189-efb6-451d-8fd7-a6704e42031e,{'netflow': '192.168.56.102:50892->192.168.56.101:16415'},1287,True,1,0,1,1,0,1
e28bdfe5-8b42-4972-9ea4-4f5be3900837,{'netflow': '192.168.56.102:51916->192.168.56.101:16415'},1323,True,1,0,1,1,0,1
e750c29f-d4eb-44ae-bfec-79002c56f836,{'netflow': '192.168.56.102:52172->192.168.56.101:16415'},1324,True,1,0,1,1,0,1
da053f9e-8065-4e1a-b776-2b94e614852a,{'netflow': '192.168.56.102:52428->192.168.56.101:16415'},1342,True,1,0,1,1,0,1
2092b463-132c-414b-8803-b8a4237777fe,{'netflow': '192.168.56.102:52684->192.168.56.101:16415'},1343,True,1,0,1,1,0,1
